"","PFC","Subcortical","COMT.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"464","InferiorFrontalGyrus","Accum",-0.073,0.012,0,0.213035919216453,0.0180012070942628,0.177033505027927,0.249038333404978,-0.0272299802311256,0.453301818664031
"465","Lateral_OFC","Accum",-0.073,0.012,0,0.205971663502672,0.0180012070942628,0.169969249314147,0.241974077691198,-0.034294235944906,0.44623756295025
"466","Medial_OFC","Accum",-0.073,0.012,0,0.249583123203919,0.0180012070942628,0.213580709015393,0.285585537392445,0.00931722375634078,0.489849022651497
"467","MiddleFrontalGyrus","Accum",-0.073,0.012,0,0.156045323958756,0.0180012070942628,0.12004290977023,0.192047738147282,-0.0842205754888222,0.396311223406334
"468","SuperiorFrontalGyrus","Accum",-0.073,0.012,0,0.215781392307329,0.0180012070942628,0.179778978118803,0.251783806495855,-0.0244845071402492,0.456047291754907
"469","Ventral_ACC","Accum",-0.073,0.012,0,0.356142356074283,0.0180012070942628,0.320139941885757,0.392144770262808,0.115876456626704,0.596408255521861
"470","Dorsal_ACC","Caudate",-0.073,0.012,0,0.349531705340226,0.0180012070942629,0.3135292911517,0.385534119528752,0.109265805892648,0.589797604787804
"471","InferiorFrontalGyrus","Caudate",-0.073,0.012,0,0.287573995470788,0.0180012070942629,0.251571581282262,0.323576409659313,0.0473080960232095,0.527839894918366
"472","Lateral_OFC","Caudate",-0.073,0.012,0,0.256160800760986,0.0180012070942629,0.22015838657246,0.292163214949512,0.0158949013134076,0.496426700208564
"473","Medial_OFC","Caudate",-0.073,0.012,0,0.210143224298526,0.0180012070942629,0.17414081011,0.246145638487052,-0.0301226751490521,0.450409123746104
"474","MiddleFrontalGyrus","Caudate",-0.073,0.012,0,0.227226626039964,0.0180012070942629,0.191224211851438,0.26322904022849,-0.0130392734076143,0.467492525487542
"475","SuperiorFrontalGyrus","Caudate",-0.073,0.012,0,0.279748674045818,0.0180012070942629,0.243746259857293,0.315751088234344,0.0394827745982402,0.520014573493397
"476","Ventral_ACC","Caudate",-0.073,0.012,0,0.341621580331153,0.0180012070942629,0.305619166142627,0.377623994519678,0.101355680883574,0.581887479778731
"477","Dorsal_ACC","Putamen",-0.073,0.012,0,0.469859281554873,0.0180012070942629,0.433856867366347,0.505861695743399,0.229593382107295,0.710125181002451
"478","InferiorFrontalGyrus","Putamen",-0.073,0.012,0,0.368691453734416,0.0180012070942629,0.33268903954589,0.404693867922942,0.128425554286838,0.608957353181994
"479","Lateral_OFC","Putamen",-0.073,0.012,0,0.262006382299291,0.0180012070942629,0.226003968110765,0.298008796487817,0.0217404828517127,0.502272281746869
"480","Medial_OFC","Putamen",-0.073,0.012,0,0.233769383299558,0.0180012070942629,0.197766969111032,0.269771797488083,-0.00649651614802055,0.474035282747136
"481","MiddleFrontalGyrus","Putamen",-0.073,0.012,0,0.207981043319322,0.0180012070942629,0.171978629130797,0.243983457507848,-0.032284856128256,0.4482469427669
"482","SuperiorFrontalGyrus","Putamen",-0.073,0.012,0,0.286079628861913,0.0180012070942629,0.250077214673388,0.322082043050439,0.0458137294143351,0.526345528309492
"483","Ventral_ACC","Putamen",-0.073,0.012,0,0.313520618217605,0.0180012070942629,0.277518204029079,0.349523032406131,0.0732547187700268,0.553786517665183
"484","Dorsal_ACC","Accum",0.927,0.012,0,0.309983004609139,0.0291374086058759,0.251708187397387,0.368257821820891,0.0653864328199688,0.554579576398309
"485","InferiorFrontalGyrus","Accum",0.927,0.012,0,0.243608992315338,0.0291374086058768,0.185334175103585,0.301883809527092,-0.000987579473832184,0.488205564104509
"486","Lateral_OFC","Accum",0.927,0.012,0,0.221007424388958,0.0291374086058768,0.162732607177205,0.279282241600712,-0.0235891474002125,0.465603996178129
"487","Medial_OFC","Accum",0.927,0.012,0,0.233338834899066,0.0291374086058768,0.175064017687313,0.29161365211082,-0.0112577368901044,0.477935406688237
"488","MiddleFrontalGyrus","Accum",0.927,0.012,0,0.161328431583808,0.0291374086058768,0.103053614372055,0.219603248795562,-0.0832681402053625,0.405925003372979
"489","SuperiorFrontalGyrus","Accum",0.927,0.012,0,0.222415060658283,0.0291374086058768,0.164140243446529,0.280689877870037,-0.0221815111308876,0.467011632447454
"490","Ventral_ACC","Accum",0.927,0.012,0,0.354918851703956,0.0291374086058767,0.296644034492203,0.41319366891571,0.110322279914786,0.599515423493127
"491","Dorsal_ACC","Caudate",0.927,0.012,0,0.349932975831645,0.0291374086058768,0.291658158619891,0.408207793043398,0.105336404042474,0.594529547620815
"492","InferiorFrontalGyrus","Caudate",0.927,0.012,0,0.298400823218431,0.0291374086058767,0.240126006006678,0.356675640430185,0.0538042514292608,0.542997395007602
