"","PFC","Subcortical","CompositeRecoded.Genotype","AgeInverseCentered","Sex.ID","reducedCorrPercentileContiguous","se","plo","phi","tlo","thi"
"188","SuperiorFrontalGyrus","Putamen",-0.173,-0.012,0,0.228761498753626,0.0215282684010117,0.185704961951602,0.271818035555649,-0.00759744593239675,0.465120443439648
"189","Ventral_ACC","Putamen",-0.173,-0.012,0,0.253081717101155,0.0215282684010117,0.210025180299132,0.296138253903178,0.0167227724151327,0.489440661787178
"190","Dorsal_ACC","Accum",0.327,-0.012,0,0.248790461794128,0.0236460307961941,0.201498400201739,0.296082523386516,0.011623380475146,0.485957543113109
"191","InferiorFrontalGyrus","Accum",0.327,-0.012,0,0.175621954810975,0.0236460307961937,0.128329893218588,0.222914016403363,-0.0615451265080062,0.412789036129957
"192","Lateral_OFC","Accum",0.327,-0.012,0,0.196139566421683,0.0236460307961937,0.148847504829296,0.24343162801407,-0.0410275148972983,0.433306647740665
"193","Medial_OFC","Accum",0.327,-0.012,0,0.214842932959706,0.0236460307961937,0.167550871367319,0.262134994552094,-0.022324148359275,0.452010014278688
"194","MiddleFrontalGyrus","Accum",0.327,-0.012,0,0.141701272615819,0.0236460307961937,0.0944092110234315,0.188993334208206,-0.0954658087031627,0.3788683539348
"195","SuperiorFrontalGyrus","Accum",0.327,-0.012,0,0.18997525510489,0.0236460307961937,0.142683193512502,0.237267316697277,-0.0471918262140917,0.427142336423871
"196","Ventral_ACC","Accum",0.327,-0.012,0,0.322814730550989,0.0236460307961937,0.275522668958602,0.370106792143376,0.0856476492320075,0.559981811869971
"197","Dorsal_ACC","Caudate",0.327,-0.012,0,0.238485535400801,0.0236460307961935,0.191193473808414,0.285777596993188,0.00131845408181966,0.475652616719783
"198","InferiorFrontalGyrus","Caudate",0.327,-0.012,0,0.188954468832847,0.0236460307961937,0.14166240724046,0.236246530425234,-0.0482126124861345,0.426121550151829
"199","Lateral_OFC","Caudate",0.327,-0.012,0,0.198792326250281,0.0236460307961937,0.151500264657893,0.246084387842668,-0.0383747550687008,0.435959407569262
"200","Medial_OFC","Caudate",0.327,-0.012,0,0.163886294533525,0.0236460307961937,0.116594232941138,0.211178356125912,-0.0732807867854566,0.401053375852506
"201","MiddleFrontalGyrus","Caudate",0.327,-0.012,0,0.17103537374509,0.0236460307961937,0.123743312152702,0.218327435337477,-0.0661317075738919,0.408202455064071
"202","SuperiorFrontalGyrus","Caudate",0.327,-0.012,0,0.208938171248784,0.0236460307961937,0.161646109656397,0.256230232841172,-0.0282289100701971,0.446105252567766
"203","Ventral_ACC","Caudate",0.327,-0.012,0,0.262161901294171,0.0236460307961937,0.214869839701783,0.309453962886558,0.0249948199751892,0.499328982613152
"204","Dorsal_ACC","Putamen",0.327,-0.012,0,0.450637197428762,0.0236460307961935,0.403345135836375,0.497929259021149,0.213470116109781,0.687804278747744
"205","InferiorFrontalGyrus","Putamen",0.327,-0.012,0,0.329502469077103,0.0236460307961937,0.282210407484715,0.37679453066949,0.0923353877581213,0.566669550396084
"206","Lateral_OFC","Putamen",0.327,-0.012,0,0.236430853568829,0.0236460307961937,0.189138791976441,0.283722915161216,-0.000736227750152585,0.47359793488781
"207","Medial_OFC","Putamen",0.327,-0.012,0,0.194283882687208,0.0236460307961937,0.14699182109482,0.241575944279595,-0.042883198631774,0.431450964006189
